,element_restaurant_name,element_restaurant_rating,element_restaurant_review_count,element_restaurant_gmaps_address,element_restaurant_website,element_restaurant_phone
0,Hog Wild with Chef Bruno Serpong,5.0 ,204 reviews,"Jl. Boulevard Springs Ruko South Goldfinch, Blok SGA No. 39, Serpong 15332 Indonesia",http://www.hogwildwithchefbruno.com/serpong/,+62 822-6019-9970
1,SALE Italian Ristorante,4.5 ,80 reviews,"The Icon Business Park blok D/9 BSD City, Tangerang 15345 Indonesia",http://www.foodartisanindonesia.com/,+62 822-6151-6101
2,Soto Betawi H. Mamat,4.0 ,380 reviews,"Jl. Raya Serpong no. 51, Tangerang Indonesia",https://www.facebook.com/Soto-betawi-H-Mamat-1927438357555257/,+62 21 98296642
3,Bubur Ayam Spesial Ko Iyo,4.5 ,12 reviews,"Jl. Kisamaun Kawasan Kuliner Pasar Lama, Tangerang Indonesia",http://www.facebook.com/Bubur-Ayam-Spesial-Ko-Iyo-402372576566660/,+62 878-0847-1888
4,Tangcity Mall,3.5 ,74 reviews,"Jl. Jenderal Sudirman no. 1, Cikokol 2nd Floor Main Atrium, Tangerang 15118 Indonesia",http://www.tangcity.com/,+62 21 55768899
5,ZIBAA,5.0 ,11 reviews,"Jl. Springs Boulevard No.51 - 52, Serpong 15332 Indonesia",http://www.zibaa.co/,+62 812-5115-5592
6,Encim Sukaria,4.0 ,30 reviews,"Jl. Soleh Ali no. 90 Sukasari, Tangerang 15118 Indonesia",http://www.zibaa.co/,+62 21 5521049
7,Bebek Kaleyo Rawa Buntu,4.0 ,139 reviews,"Jl. Rawa Buntu no.17 Arah Puspitek/Taman Tekno Bsd, Tangerang 15317 Indonesia",http://bebekkaleyo.blogspot.com/,+62 21 95700055
8,Taman Santap Rumah Kayu,4.0 ,114 reviews,"Jl. Ki Hajar Dewantara SKL 002, Tangerang Indonesia",http://www.restorumahkayu.com/,+62 21 54212011
9,Signora Pasta,4.5 ,9 reviews,"Jl. Cirendeu Raya, Cirendeu, Ciputat Timur Plaza Cirendeu, Tangerang Indonesia",http://www.restorumahkayu.com/,+62 21 91264389
10,The Square,4.5 ,16 reviews,"Jl. jend sudirman no. 1 Tangcity Superblock, Tangerang 15117 Indonesia",https://www.accorhotels.com/gb/hotel-7234-novotel-tangerang/index.shtml#section-restaurants,+62 21 29679999
11,Indah Jaya Minang,4.0 ,34 reviews,"Jl. Jalur Alam Sutera Boulevard Kav. 29C No. 46-48, Alam Sutera, Tangerang Indonesia",http://www.jenzcorner.net/indah-jaya-minang,+62 21 53140756
12,White House Vegetarian Restaurant,4.0 ,20 reviews,"Jl Ruko Fluorite no 78, Tangerang 15000 Indonesia",http://www.jenzcorner.net/indah-jaya-minang,+62 21 54220477
13,Sate H. Wahab,4.0 ,8 reviews,"Jln. Karawaci, Tangerang 15115 Indonesia",http://www.jenzcorner.net/indah-jaya-minang,+62 21 55769802
14,Myeong Ga Myeon Ok,4.0 ,11 reviews,"Jln. Pinangsia, Jakarta 11110 Indonesia",http://www.jenzcorner.net/indah-jaya-minang,+62 21 45859272
15,Central Restaurant,3.5 ,18 reviews,"Jl. Serpong Raya, Paku Alam, Tangerang Indonesia",http://www.facebook.com/pages/Central-Restoran-BSD/308794022664583,+62 21 45859272
16,Laksa Bihun Ci Ikim,4.0 ,1 review,"Jl. KH. Soleh Ali No. 89, Tangerang Indonesia",http://www.facebook.com/pages/Central-Restoran-BSD/308794022664583,+62 815-4613-7039
17,B'Steak Grill and Pancake Gading Serpong,4.0 ,109 reviews,"Jalan Ki Hajar Dewantara Ruko Golden 8 Blok F no 3, Gading Serpong, Tangerang Indonesia",http://www.bsteak.co.id/,+62 21 29419075
18,Justus Steakhouse Alam Sutera,5.0 ,355 reviews,"Jl. Alam Sutera Town Center 10j No.6, South Tangerang 15325 Indonesia",http://justusku.co.id/,+62 813-9990-4335
19,Sushi Tei Karawaci,4.0 ,40 reviews,"Jl. Boulevard Diponegoro No.105 Karawaci Supermall Level UG #3C, Tangerang 15810 Indonesia",http://www.sushitei.co.id/,+62 21 72781678
20,Jittlada Thai Cuisine,4.0 ,14 reviews,"Jl. Grand Boulevard BSD The Breeze, Serpong Indonesia",http://www.jittlada.com/jittlada/about-jittlada.html,+62 21 72781678
21,Tiga Wonton,3.5 ,22 reviews,"Jl. Alam Sutera Boulevard all Living World, Tangerang 15326 Indonesia",http://www.tigawonton.com/,+62 21 72781678
22,Gubug Makan Mang Engking The Breeze BSD,4.0 ,294 reviews,"Jl. Grand Boulevard The Breeze BSD City - Unit L.67A, L. 67C, Tangerang 15310 Indonesia",http://thebreeze.bsdcity.com/page/dining/restaurant/detail/gubug_makan_mang_engking,+62 21 50385385
23,Rosso' Micro Roastery,4.5 ,44 reviews,"Pasar Modern Bsd No. R21, Jalan Letnan Sutopo Pasar Modern Bsd No. R21,, Serpong Indonesia",,+62 838-8888-572
24,Rocca Osteria & Bar,5.0 ,20 reviews,"Jl. BSD Raya Utama No.7, Lengkong Kulon QBIG BSD City, Pagedangan 15157 Indonesia",https://www.instagram.com/roccaosteriabar/,+62 811-1907-9168
25,Bandar Djakarta Alam Sutera,4.5 ,329 reviews,"Kav. 6, Serpong Jl. Alam Sutera Boulevard Flavor Bliss - Alam Sutera, Serpong 15325 Indonesia",http://www.bandar-djakarta.com/bandar-djakarta-alam-sutera,+62 21 53140388
26,Chin-Ma-Ya Ramen,4.0 ,63 reviews,"Boulevard Gading Serpong Blok B-4 No. 40 Paramount Serpong, Tangerang Indonesia",https://www.facebook.com/ChinmayaID/,+62 21 29001065
27,Pizza Marzano Senayan City,4.0 ,98 reviews,"Jl. Asia Afrika, Lot 19, Senayan Senayan City Mall, Unit G-102 LG Floor, Jakarta 12210 Indonesia",http://pizzamarzano.co.id/,+62 21 72781065
28,Ootoya,4.0 ,41 reviews,"Jln. Jendral Sudirman Pacific Place 5 fl Unit 9, Jakarta 10210 Indonesia",http://www.facebook.com/lemetropolenamur/,+62 21 57973858
29,RM Pagi Sore Alam Sutera,4.0 ,23 reviews,"Jl. Jalur Sutera No. 20D, Tangerang Indonesia",http://pagisore.id/,+62 21 30030666
